timestamp,message
1592513227268,"START RequestId: f3d2ef77-c3d3-495f-9754-ed67ef0f51cb Version: $LATEST
"
1592513227271,"2020-06-18T20:47:07.270Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	createPnT fxn
"
1592513227274,"{""name"":""createPicNThought"",""resource"":""/pnts"",""path"":""/pnts"",""httpMethod"":""POST"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Accept-Encoding"":""br, gzip, deflate"",""Accept-Language"":""en-us"",""Authorization"":""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMDg4NjE1ODA2NDU4MjU0NTczMzgiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMjk2NiwiZXhwIjoxNTkyNTQ4OTY2LCJhdF9oYXNoIjoibU5rcGsxdnlYVUxVLW0wVE9JblVGUSIsIm5vbmNlIjoiSnFTaWw2RDdLUWEwZDFISDhKYXlIWXQ1WVVDMFUubloifQ.UQB_yMBz5eiTBDlad4J8HheU9OhnM5qq2qSeHFRe9SKkUF38_H3mq5Q3LQkxy2R-TNBagFp9LsG1dCgzZMxIMggXux-NGHUbvIKrYEt7koXiruyZxjIWsJKOeKUQxe9h0F-88vd7DKPPZBUTUexXKfE-M1OqvhoRNIbDYny7Ez2Nu3nBVkaG-MLt4Jy6OYXh-Jt6I7zJr4uWxMl1_1A519LlXQohUQrcqOFWj0cSPi7ZvekezMcDfILwyuvO3PQ4PROhS2qgronEFZvLvmXzBy5NoorHpxw1_QgKPIkc8ERVpE5pK-XkGJLlf728SU4b2UahMXT8BTrzxo26FjPHUA"",""CloudFront-Forwarded-Proto"":""https"",""CloudFront-Is-Desktop-Viewer"":""true"",""CloudFront-Is-Mobile-Viewer"":""false"",""CloudFront-Is-SmartTV-Viewer"":""false"",""CloudFront-Is-Tablet-Viewer"":""false"",""CloudFront-Viewer-Country"":""US"",""content-type"":""application/json"",""Host"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""origin"":""http://localhost:3000"",""Referer"":""http://localhost:3000/"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15"",""Via"":""2.0 3a4361e2c1007be46e48ba14c0942f55.cloudfront.net (CloudFront)"",""X-Amz-Cf-Id"":""lrD_beD0VgCI4J903fsL6FP_Q3dFNwk35V5RNkMt0eF41lDHFYpEMg=="",""X-Amzn-Trace-Id"":""Root=1-5eebd2ca-5ea642ab6b7ea93d4cff23fb"",""X-Forwarded-For"":""71.156.79.242, 64.252.128.77"",""X-Forwarded-Port"":""443"",""X-Forwarded-Proto"":""https""},""multiValueHeaders"":{""Accept"":[""application/json, text/plain, */*""],""Accept-Encoding"":[""br, gzip, deflate""],""Accept-Language"":[""en-us""],""Authorization"":[""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMDg4NjE1ODA2NDU4MjU0NTczMzgiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMjk2NiwiZXhwIjoxNTkyNTQ4OTY2LCJhdF9oYXNoIjoibU5rcGsxdnlYVUxVLW0wVE9JblVGUSIsIm5vbmNlIjoiSnFTaWw2RDdLUWEwZDFISDhKYXlIWXQ1WVVDMFUubloifQ.UQB_yMBz5eiTBDlad4J8HheU9OhnM5qq2qSeHFRe9SKkUF38_H3mq5Q3LQkxy2R-TNBagFp9LsG1dCgzZMxIMggXux-NGHUbvIKrYEt7koXiruyZxjIWsJKOeKUQxe9h0F-88vd7DKPPZBUTUexXKfE-M1OqvhoRNIbDYny7Ez2Nu3nBVkaG-MLt4Jy6OYXh-Jt6I7zJr4uWxMl1_1A519LlXQohUQrcqOFWj0cSPi7ZvekezMcDfILwyuvO3PQ4PROhS2qgronEFZvLvmXzBy5NoorHpxw1_QgKPIkc8ERVpE5pK-XkGJLlf728SU4b2UahMXT8BTrzxo26FjPHUA""],""CloudFront-Forwarded-Proto"":[""https""],""CloudFront-Is-Desktop-Viewer"":[""true""],""CloudFront-Is-Mobile-Viewer"":[""false""],""CloudFront-Is-SmartTV-Viewer"":[""false""],""CloudFront-Is-Tablet-Viewer"":[""false""],""CloudFront-Viewer-Country"":[""US""],""content-type"":[""application/json""],""Host"":[""xc5w3qglll.execute-api.us-east-1.amazonaws.com""],""origin"":[""http://localhost:3000""],""Referer"":[""http://localhost:3000/""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15""],""Via"":[""2.0 3a4361e2c1007be46e48ba14c0942f55.cloudfront.net (CloudFront)""],""X-Amz-Cf-Id"":[""lrD_beD0VgCI4J903fsL6FP_Q3dFNwk35V5RNkMt0eF41lDHFYpEMg==""],""X-Amzn-Trace-Id"":[""Root=1-5eebd2ca-5ea642ab6b7ea93d4cff23fb""],""X-Forwarded-For"":[""71.156.79.242, 64.252.128.77""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""]},""queryStringParameters"":null,""multiValueQueryStringParameters"":null,""pathParameters"":null,""stageVariables"":null,""requestContext"":{""resourceId"":""9ma6rl"",""authorizer"":{""principalId"":""google-oauth2|108861580645825457338"",""integrationLatency"":0},""resourcePath"":""/pnts"",""httpMethod"":""POST"",""extendedRequestId"":""OV3fmFrMIAMFyPg="",""requestTime"":""18/Jun/2020:20:47:06 +0000"",""path"":""/dev/pnts"",""accountId"":""234180911028"",""protocol"":""HTTP/1.1"",""stage"":""dev"",""domainPrefix"":""xc5w3qglll"",""requestTimeEpoch"":1592513226146,""requestId"":""afd2fcf5-63ef-4307-9dde-69c6616a7e6d"",""identity"":{""cognitoIdentityPoolId"":null,""accountId"":null,""cognitoIdentityId"":null,""caller"":null,""sourceIp"":""71.156.79.242"",""principalOrgId"":null,""accessKey"":null,""cognitoAuthenticationType"":null,""cognitoAuthenticationProvider"":null,""userArn"":null,""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15"",""user"":null},""domainName"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""apiId"":""xc5w3qglll""},""body"":""{\""thought\"":\""Because of the COVID-19 pandemic, the 2020 baseball season has been indefinitely cancelled...\"",\""mood\"":\""frown\"",\""createdDt\"":\""Thu Jun 18 2020 16:47:05\""}"",""isBase64Encoded"":false,""level"":""info"",""message"":""Event: ""}
"
1592513227286,"2020-06-18T20:47:07.286Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	UserId:  google-oauth2|108861580645825457338
"
1592513227287,"2020-06-18T20:47:07.287Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	db_access.addPnT
"
1592513227287,"2020-06-18T20:47:07.287Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	Add new Pic-N-Thought for User:  google-oauth2|108861580645825457338
"
1592513227288,"{""name"":""db_access_Logger"",""pntId"":""99783f00-233a-4392-a034-62b229547385"",""userId"":""google-oauth2|108861580645825457338"",""thought"":""Because of the COVID-19 pandemic, the 2020 baseball season has been indefinitely cancelled..."",""createdDt"":""Thu Jun 18 2020 16:47:05"",""mood"":""frown"",""level"":""info"",""message"":""New Pic-N-Thought""}
"
1592513227391,"2020-06-18T20:47:07.391Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	ERROR	(node:8) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
"
1592513227442,"2020-06-18T20:47:07.441Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	Ok
"
1592513227442,"2020-06-18T20:47:07.441Z	f3d2ef77-c3d3-495f-9754-ed67ef0f51cb	INFO	Success 201
"
