timestamp,message
1592512641726,"START RequestId: bb8622f5-e736-4b0d-8d11-f7abb63a55d6 Version: $LATEST
"
1592512641729,"2020-06-18T20:37:21.729Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	getPnTs fxn
"
1592512641745,"{""name"":""getPicNThoughts"",""resource"":""/pnts"",""path"":""/pnts"",""httpMethod"":""GET"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Accept-Encoding"":""gzip, deflate, br"",""Accept-Language"":""en-US,en;q=0.9"",""Authorization"":""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMTIxNjM3Njk3NzA2OTYwMjY4NzEiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMDE0NiwiZXhwIjoxNTkyNTQ2MTQ2LCJhdF9oYXNoIjoiWk1ZYXQyTTRpODF6NmpQSU5vV1lFUSIsIm5vbmNlIjoiQkFhdnFuUWxPQkwtVDZxTk5sQy1md3VfZHhxRFhQLVIifQ.JnbgUge1hwUKUqkQmfz04snoXFSqbtJNutIxfBZpfNxN6OpVAQ5f7qB69S1nyYiNpbpqC3zAfdEGQK3SyGnMQ8-mScrKSe2_2SKtpwPJ02Mz55WhHbC8YRMxQ3Z9AvBzLph71wRPWqFhhgJEKg8Vqo9BT_O6VqTf7SK-dbtZDB7gB0_-LeaRFyAC979yrGybs-Dyg5WtQZ1ORHet18VasfgSLMNNkOlKRrb861BQ9pupGl0ikxpWHnZfLfBri8En3rYY6uQENdUo_tM6ykf8ltZwQF4qEZx0J3pmrCRQiJUnAlq3LvdnZvoQCYjqd-bNFzEpToP1iqTT_54EayPa7w"",""CloudFront-Forwarded-Proto"":""https"",""CloudFront-Is-Desktop-Viewer"":""true"",""CloudFront-Is-Mobile-Viewer"":""false"",""CloudFront-Is-SmartTV-Viewer"":""false"",""CloudFront-Is-Tablet-Viewer"":""false"",""CloudFront-Viewer-Country"":""US"",""Host"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""origin"":""http://localhost:3000"",""Referer"":""http://localhost:3000/"",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"",""Via"":""2.0 46732229201aa4f609c262fdc081b510.cloudfront.net (CloudFront)"",""X-Amz-Cf-Id"":""SQgDpXiTh42OaeYChOfnLULQZk6i7ZG2mLNj1hoNFAXkE8d3pnQcdg=="",""X-Amzn-Trace-Id"":""Root=1-5eebd080-9080ba00ffd28c8073dfd45c"",""X-Forwarded-For"":""71.156.79.242, 64.252.128.155"",""X-Forwarded-Port"":""443"",""X-Forwarded-Proto"":""https""},""multiValueHeaders"":{""Accept"":[""application/json, text/plain, */*""],""Accept-Encoding"":[""gzip, deflate, br""],""Accept-Language"":[""en-US,en;q=0.9""],""Authorization"":[""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMTIxNjM3Njk3NzA2OTYwMjY4NzEiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMDE0NiwiZXhwIjoxNTkyNTQ2MTQ2LCJhdF9oYXNoIjoiWk1ZYXQyTTRpODF6NmpQSU5vV1lFUSIsIm5vbmNlIjoiQkFhdnFuUWxPQkwtVDZxTk5sQy1md3VfZHhxRFhQLVIifQ.JnbgUge1hwUKUqkQmfz04snoXFSqbtJNutIxfBZpfNxN6OpVAQ5f7qB69S1nyYiNpbpqC3zAfdEGQK3SyGnMQ8-mScrKSe2_2SKtpwPJ02Mz55WhHbC8YRMxQ3Z9AvBzLph71wRPWqFhhgJEKg8Vqo9BT_O6VqTf7SK-dbtZDB7gB0_-LeaRFyAC979yrGybs-Dyg5WtQZ1ORHet18VasfgSLMNNkOlKRrb861BQ9pupGl0ikxpWHnZfLfBri8En3rYY6uQENdUo_tM6ykf8ltZwQF4qEZx0J3pmrCRQiJUnAlq3LvdnZvoQCYjqd-bNFzEpToP1iqTT_54EayPa7w""],""CloudFront-Forwarded-Proto"":[""https""],""CloudFront-Is-Desktop-Viewer"":[""true""],""CloudFront-Is-Mobile-Viewer"":[""false""],""CloudFront-Is-SmartTV-Viewer"":[""false""],""CloudFront-Is-Tablet-Viewer"":[""false""],""CloudFront-Viewer-Country"":[""US""],""Host"":[""xc5w3qglll.execute-api.us-east-1.amazonaws.com""],""origin"":[""http://localhost:3000""],""Referer"":[""http://localhost:3000/""],""sec-fetch-dest"":[""empty""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""cross-site""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36""],""Via"":[""2.0 46732229201aa4f609c262fdc081b510.cloudfront.net (CloudFront)""],""X-Amz-Cf-Id"":[""SQgDpXiTh42OaeYChOfnLULQZk6i7ZG2mLNj1hoNFAXkE8d3pnQcdg==""],""X-Amzn-Trace-Id"":[""Root=1-5eebd080-9080ba00ffd28c8073dfd45c""],""X-Forwarded-For"":[""71.156.79.242, 64.252.128.155""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""]},""queryStringParameters"":null,""multiValueQueryStringParameters"":null,""pathParameters"":null,""stageVariables"":null,""requestContext"":{""resourceId"":""9ma6rl"",""authorizer"":{""principalId"":""google-oauth2|112163769770696026871"",""integrationLatency"":0},""resourcePath"":""/pnts"",""httpMethod"":""GET"",""extendedRequestId"":""OV2EHH0jIAMFx9A="",""requestTime"":""18/Jun/2020:20:37:20 +0000"",""path"":""/dev/pnts"",""accountId"":""234180911028"",""protocol"":""HTTP/1.1"",""stage"":""dev"",""domainPrefix"":""xc5w3qglll"",""requestTimeEpoch"":1592512640620,""requestId"":""7dda8b9f-4543-4490-859a-5e4c171b7292"",""identity"":{""cognitoIdentityPoolId"":null,""accountId"":null,""cognitoIdentityId"":null,""caller"":null,""sourceIp"":""71.156.79.242"",""principalOrgId"":null,""accessKey"":null,""cognitoAuthenticationType"":null,""cognitoAuthenticationProvider"":null,""userArn"":null,""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"",""user"":null},""domainName"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""apiId"":""xc5w3qglll""},""body"":null,""isBase64Encoded"":false,""level"":""info"",""message"":""Event: ""}
"
1592512641746,"2020-06-18T20:37:21.746Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	UserId:  google-oauth2|112163769770696026871
"
1592512641747,"2020-06-18T20:37:21.746Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	db_access.getPnTs
"
1592512641747,"2020-06-18T20:37:21.747Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	Query PnTs filter by userId:  google-oauth2|112163769770696026871
"
1592512641830,"2020-06-18T20:37:21.830Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	ERROR	(node:7) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
"
1592512641877,"2020-06-18T20:37:21.877Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	Get PnTs:  [
  {
    mood: 'smile',
    pntId: '0e7a9009-7272-4ec4-9f03-a31529154c87',
    createdDt: 'Thu Jun 18 2020 09:37:16',
    thought: 'I enjoy and have become accustomed to coffee with toast every morning. This has become a necessity!',
    userId: 'google-oauth2|112163769770696026871',
    attachmentUrl: 'https://pic-n-thought-bucket-dev.s3.amazonaws.com/48710532-7e55-416f-b291-72528c99e028'
  },
  {
    mood: 'meh',
    pntId: '1eca68dd-2077-4f2f-a6db-3301d7e21901',
    createdDt: 'Thu Jun 18 2020 09:53:37',
    attachmentUrl: 'https://pic-n-thought-bucket-dev.s3.amazonaws.com/def9c9e1-0a48-402a-bae6-8f82da26a565',
    thought: 'Our country is struggling...',
    userId: 'google-oauth2|112163769770696026871'
  },
  {
    mood: 'meh',
    pntId: '20606415-e042-494e-9fc5-381fb838fdc5',
    createdDt: 'Thu Jun 18 2020 10:57:51',
    thought: 'We need someone who can fix the world...',
    userId: 'google-oauth2|112163769770696026871',
    attachmentUrl: 'https://pic-n-thought-bucket-dev.s3.amazonaws.com/8c5cfa5c-5ae6-4ce8-a073-a2568be3745f'
  },
  {
    mood: 'frown',
    pntId: '3822e2d4-09b4-4085-98d3-47cd756928a6',
    createdDt: 'Thu Jun 18 2020 11:26:41',
    thought: 'The COVID-19 pandemic has halted the 2020 baseball season indefinitely.',
    userId: 'google-oauth2|112163769770696026871',
    attachmentUrl: 'https://pic-n-thought-bucket-dev.s3.amazonaws.com/7742e87e-9e12-47bd-812b-8cc76243e0f9'
  },
  {
    mood: 'smile',
    pntId: '4d6edfdc-7a08-4f4d-ba68-7aa3a1f0f28a',
    createdDt: 'Thu Jun 18 2020 11:06:44',
    thought: ""Keep attending to the world's natural air filters-- plants!"",
    userId: 'google-oauth2|112163769770696026871',
    attachmentUrl: 'https://pic-n-thought-bucket-dev.s3.amazonaws.com/3efc5541-8aa5-4d36-895d-1780ab4cbc8b'
  }
]
"
1592512641877,"{""message"":[{""mood"":""smile"",""pntId"":""0e7a9009-7272-4ec4-9f03-a31529154c87"",""createdDt"":""Thu Jun 18 2020 09:37:16"",""thought"":""I enjoy and have become accustomed to coffee with toast every morning. This has become a necessity!"",""userId"":""google-oauth2|112163769770696026871"",""attachmentUrl"":""https://pic-n-thought-bucket-dev.s3.amazonaws.com/48710532-7e55-416f-b291-72528c99e028""},{""mood"":""meh"",""pntId"":""1eca68dd-2077-4f2f-a6db-3301d7e21901"",""createdDt"":""Thu Jun 18 2020 09:53:37"",""attachmentUrl"":""https://pic-n-thought-bucket-dev.s3.amazonaws.com/def9c9e1-0a48-402a-bae6-8f82da26a565"",""thought"":""Our country is struggling..."",""userId"":""google-oauth2|112163769770696026871""},{""mood"":""meh"",""pntId"":""20606415-e042-494e-9fc5-381fb838fdc5"",""createdDt"":""Thu Jun 18 2020 10:57:51"",""thought"":""We need someone who can fix the world..."",""userId"":""google-oauth2|112163769770696026871"",""attachmentUrl"":""https://pic-n-thought-bucket-dev.s3.amazonaws.com/8c5cfa5c-5ae6-4ce8-a073-a2568be3745f""},{""mood"":""frown"",""pntId"":""3822e2d4-09b4-4085-98d3-47cd756928a6"",""createdDt"":""Thu Jun 18 2020 11:26:41"",""thought"":""The COVID-19 pandemic has halted the 2020 baseball season indefinitely."",""userId"":""google-oauth2|112163769770696026871"",""attachmentUrl"":""https://pic-n-thought-bucket-dev.s3.amazonaws.com/7742e87e-9e12-47bd-812b-8cc76243e0f9""},{""mood"":""smile"",""pntId"":""4d6edfdc-7a08-4f4d-ba68-7aa3a1f0f28a"",""createdDt"":""Thu Jun 18 2020 11:06:44"",""thought"":""Keep attending to the world's natural air filters-- plants!"",""userId"":""google-oauth2|112163769770696026871"",""attachmentUrl"":""https://pic-n-thought-bucket-dev.s3.amazonaws.com/3efc5541-8aa5-4d36-895d-1780ab4cbc8b""}],""level"":""info"",""name"":""getPicNThoughts""}
"
1592512641877,"2020-06-18T20:37:21.877Z	bb8622f5-e736-4b0d-8d11-f7abb63a55d6	INFO	Success 200
"
